month,milk_per_cow_kg
1/1/06,265.05
2/1/06,252.45
3/1/06,288
4/1/06,295.2
5/1/06,327.15
6/1/06,313.65
7/1/06,288
8/1/06,269.55
9/1/06,255.6
10/1/06,259.65
11/1/06,248.85
12/1/06,261.9
1/1/07,270
2/1/07,254.7
3/1/07,293.85
4/1/07,302.85
5/1/07,333.9
6/1/07,322.2
7/1/07,297
8/1/07,277.65
9/1/07,262.35
10/1/07,264.15
11/1/07,254.25
12/1/07,269.1
1/1/08,282.6
2/1/08,278.1
3/1/08,309.6
4/1/08,317.25
5/1/08,346.5
6/1/08,331.2
7/1/08,305.1
8/1/08,287.55
9/1/08,271.8
10/1/08,274.95
11/1/08,267.3
12/1/08,285.3
1/1/09,296.1
2/1/09,279.9
3/1/09,319.05
4/1/09,324.9
5/1/09,351.9
6/1/09,340.2
7/1/09,315.9
8/1/09,293.85
9/1/09,276.75
10/1/09,279.45
11/1/09,270.9
12/1/09,285.75
1/1/10,304.65
2/1/10,285.75
3/1/10,331.2
4/1/10,339.75
5/1/10,364.95
6/1/10,359.1
7/1/10,330.75
8/1/10,313.65
9/1/10,297.45
10/1/10,300.15
11/1/10,290.25
12/1/10,309.6
1/1/11,320.85
2/1/11,300.15
3/1/11,342.9
4/1/11,352.8
5/1/11,376.65
6/1/11,367.65
7/1/11,345.15
8/1/11,324.9
9/1/11,306.45
10/1/11,309.15
11/1/11,297
12/1/11,314.1
1/1/12,322.65
2/1/12,313.2
3/1/12,348.75
4/1/12,358.2
5/1/12,386.1
6/1/12,371.7
7/1/12,352.35
8/1/12,333
9/1/12,315.45
10/1/12,317.7
11/1/12,304.65
12/1/12,319.95
1/1/13,330.3
2/1/13,310.5
3/1/13,353.25
4/1/13,362.25
5/1/13,391.95
6/1/13,380.25
7/1/13,360.45
8/1/13,343.8
9/1/13,326.25
10/1/13,325.35
11/1/13,310.5
12/1/13,330.3
1/1/14,337.5
2/1/14,318.15
3/1/14,363.15
4/1/14,370.8
5/1/14,398.7
6/1/14,386.55
7/1/14,368.55
8/1/14,352.35
9/1/14,333
10/1/14,336.15
11/1/14,319.95
12/1/14,337.95
1/1/15,361.8
2/1/15,340.2
3/1/15,387
4/1/15,395.1
5/1/15,423.9
6/1/15,410.85
7/1/15,391.05
8/1/15,375.3
9/1/15,355.5
10/1/15,360
11/1/15,343.35
12/1/15,360
1/1/16,371.7
2/1/16,359.55
3/1/16,400.5
4/1/16,405
5/1/16,432.45
6/1/16,420.75
7/1/16,402.3
8/1/16,384.75
9/1/16,364.05
10/1/16,364.5
11/1/16,344.7
12/1/16,362.25
1/1/17,369.45
2/1/17,347.85
3/1/17,397.35
4/1/17,404.1
5/1/17,430.65
6/1/17,415.8
7/1/17,396.45
8/1/17,376.65
9/1/17,352.8
10/1/17,355.95
11/1/17,342
12/1/17,360.9
1/1/18,372.6
2/1/18,350.1
3/1/18,400.05
4/1/18,405.9
5/1/18,436.05
6/1/18,426.15
7/1/18,408.6
8/1/18,390.15
9/1/18,366.75
10/1/18,365.4
11/1/18,347.85
12/1/18,365.85
1/1/19,375.3
2/1/19,351.9
3/1/19,401.4
4/1/19,406.35
5/1/19,434.7
6/1/19,421.65
7/1/19,403.2
8/1/19,386.1
9/1/19,367.65
10/1/19,372.15
11/1/19,358.65
12/1/19,379.35